,Name,User Rating,Reviews,Price,Year,Genre_n
0,10-Day Green Smoothie Cleanse,0.35999008045920833,0.46045266403352053,-0.47080975406275044,2016,0
1,11/22/63: A Novel,-0.08097772411220924,-0.8447859304360607,0.8216091786585253,2011,1
2,12 Rules for Life: An Antidote to Chaos,0.35999008045920833,0.5994403532994996,0.17539971229788745,2018,0
3,1984 (Signet Classics),0.35999008045920833,0.8080498684961349,-0.6554410301657898,2017,1
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",0.8009578850306219,-0.36587991456746616,-0.10154720185667164,2019,0
5,A Dance with Dragons (A Song of Ice and Fire),-0.9629133332550365,0.05884735195558102,-0.19386283990819134,2011,1
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,0.35999008045920833,0.6639429273234899,1.5601342830706828,2014,1
7,A Gentleman in Moscow: A Novel,0.35999008045920833,0.6608713761794903,0.17539971229788745,2017,1
8,"A Higher Loyalty: Truth, Lies, and Leadership",0.35999008045920833,-0.5093896096843334,-0.9323879443203489,2018,0
9,A Man Called Ove: A Novel,-0.08097772411220924,1.014867645525437,-0.47080975406275044,2016,1
10,A Man Called Ove: A Novel,-0.08097772411220924,1.014867645525437,-0.47080975406275044,2017,1
11,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,-0.08097772411220924,-0.9806167476929292,-1.0247035823718686,2010,0
12,A Stolen Life: A Memoir,-0.08097772411220924,-0.6658680762980876,1.7447655591737221,2011,0
13,A Wrinkle in Time (Time Quintet),-0.5219455286836229,-0.580205927726545,-0.7477566682173095,2018,1
14,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",-0.08097772411220924,-0.5921508488420987,0.36003098840092684,2009,0
15,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",-0.5219455286836229,-0.822517184642064,-0.8400723062688292,2016,0
16,Adult Coloring Book: Stress Relieving Animal Designs,-0.08097772411220924,-0.7703008151940719,-0.6554410301657898,2015,0
17,Adult Coloring Book: Stress Relieving Patterns,-0.9629133332550365,-0.7680824727011833,-0.6554410301657898,2015,0
18,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",-0.5219455286836229,-0.8128759268845099,-0.47080975406275044,2015,0
19,Alexander Hamilton,0.8009578850306219,-0.2350830283521525,-0.009231563805151936,2016,0
20,All the Light We Cannot See,-0.08097772411220924,2.0813784594141653,0.08308407424636775,2014,1
21,All the Light We Cannot See,-0.08097772411220924,2.0813784594141653,0.08308407424636775,2015,1
22,Allegiant,-3.1677523561121146,-0.4814896867930043,-0.009231563805151936,2013,1
23,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,-0.08097772411220924,0.3385291477897611,-0.37849411601123073,2015,0
24,And the Mountains Echoed,-1.403881137826454,0.017552053241809463,-0.009231563805151936,2013,1
25,Arguing with Idiots: How to Stop Small Minds and Big Government,-0.08097772411220924,-0.9517782952853779,-0.7477566682173095,2009,0
26,Astrophysics for People in a Hurry,0.35999008045920833,-0.2200665560925992,-0.37849411601123073,2017,0
27,"Autobiography of Mark Twain, Vol. 1",-1.8448489423978678,-0.9779718008744851,0.08308407424636775,2010,0
28,Baby Touch and Feel: Animals,-0.08097772411220924,-0.5625445086485477,-0.7477566682173095,2015,0
29,Balance (Angie's Extreme Stress Menders),-0.08097772411220924,-0.8569868141469478,-0.19386283990819134,2015,0
30,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,0.8009578850306219,-0.9092885044600509,1.0062404547615647,2012,0
31,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",0.35999008045920833,-0.9673920136007089,0.7292935406070057,2010,0
32,Becoming,0.8009578850306219,4.196056101192736,-0.19386283990819134,2018,0
33,Becoming,0.8009578850306219,4.196056101192736,-0.19386283990819134,2019,0
34,Being Mortal: Medicine and What Matters in the End,0.8009578850306219,-0.07169357166439932,0.17539971229788745,2015,0
35,Between the World and Me,0.35999008045920833,-0.16068323397527481,-0.009231563805151936,2015,0
36,Between the World and Me,0.35999008045920833,-0.16068323397527481,-0.009231563805151936,2016,0
37,Born to Run,0.35999008045920833,-0.7017028396447489,0.45234662645244655,2016,0
38,"Breaking Dawn (The Twilight Saga, Book 4)",-0.08097772411220924,-0.18636481437371538,-0.009231563805151936,2009,1
39,"Broke: The Plan to Restore Our Trust, Truth and Treasure",-0.5219455286836229,-0.9796782181767071,-0.47080975406275044,2010,0
40,"Brown Bear, Brown Bear, What Do You See?",1.2419256896020394,0.20397814350955917,-0.7477566682173095,2017,1
41,"Brown Bear, Brown Bear, What Do You See?",1.2419256896020394,0.20397814350955917,-0.7477566682173095,2019,1
42,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",0.8009578850306219,-0.6354938483185366,-1.209334858474908,2011,1
43,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),-0.08097772411220924,-0.13517229530705643,-0.8400723062688292,2016,0
44,Can't Hurt Me: Master Your Mind and Defy the Odds,0.8009578850306219,0.3660877872206459,0.45234662645244655,2019,0
45,Capital in the Twenty First Century,-0.5219455286836229,-0.7737989706636269,1.3755030069676435,2014,0
46,Catching Fire (The Hunger Games),0.35999008045920833,0.9095816979783418,-0.19386283990819134,2010,1
47,Catching Fire (The Hunger Games),0.35999008045920833,0.9095816979783418,-0.19386283990819134,2011,1
48,Catching Fire (The Hunger Games),0.35999008045920833,0.9095816979783418,-0.19386283990819134,2012,1
49,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,0.35999008045920833,-0.6136517068500955,0.26771535034940713,2016,0
50,Crazy Love: Overwhelmed by a Relentless God,0.35999008045920833,-0.8882995716427208,0.08308407424636775,2009,0
51,Crazy Love: Overwhelmed by a Relentless God,0.35999008045920833,-0.8882995716427208,0.08308407424636775,2010,0
52,Crazy Love: Overwhelmed by a Relentless God,0.35999008045920833,-0.8882995716427208,0.08308407424636775,2011,0
53,Crazy Rich Asians (Crazy Rich Asians Trilogy),-1.403881137826454,-0.4957382712665577,-0.47080975406275044,2018,1
54,Creative Haven Creative Cats Coloring Book (Adult Coloring),0.8009578850306219,-0.6767038261671972,-0.8400723062688292,2015,0
55,Creative Haven Owls Coloring Book (Adult Coloring),0.8009578850306219,-0.6895872767989729,-0.7477566682173095,2015,0
56,Cutting for Stone,-0.08097772411220924,-0.6046930160134302,-0.19386283990819134,2010,1
57,Cutting for Stone,-0.08097772411220924,-0.6046930160134302,-0.19386283990819134,2011,1
58,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",0.8009578850306219,-0.9064729159113847,-0.286178477959711,2013,0
59,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",-0.9629133332550365,-0.6238048897983162,-0.009231563805151936,2013,0
60,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),-0.08097772411220924,-0.8883848925078319,-0.8400723062688292,2009,1
61,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",-1.403881137826454,-0.8557070011702813,-0.47080975406275044,2010,1
62,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",-1.8448489423978678,-0.8412024541013946,-0.8400723062688292,2011,1
63,Dear Zoo: A Lift-the-Flap Book,0.8009578850306219,-0.08798985690061908,-0.7477566682173095,2015,1
64,Dear Zoo: A Lift-the-Flap Book,0.8009578850306219,-0.08798985690061908,-0.7477566682173095,2016,1
65,Dear Zoo: A Lift-the-Flap Book,0.8009578850306219,-0.08798985690061908,-0.7477566682173095,2017,1
66,Dear Zoo: A Lift-the-Flap Book,0.8009578850306219,-0.08798985690061908,-0.7477566682173095,2018,1
67,Decision Points,-0.08097772411220924,-0.8375336569016173,0.36003098840092684,2010,0
68,"Delivering Happiness: A Path to Profits, Passion, and Purpose",-0.08097772411220924,-0.8789995973456111,0.17539971229788745,2010,0
69,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",-0.5219455286836229,-0.450006287567009,8.483807136934661,2013,0
70,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",-0.5219455286836229,-0.450006287567009,8.483807136934661,2014,0
71,"Diary of a Wimpy Kid: Hard Luck, Book 8",0.8009578850306219,-0.4386586125072329,-1.209334858474908,2013,1
72,Diary of a Wimpy Kid: The Last Straw (Book 3),0.8009578850306219,-0.6924881862127503,0.17539971229788745,2009,1
73,Diary of a Wimpy Kid: The Long Haul,0.8009578850306219,-0.4618658878174517,0.8216091786585253,2014,1
74,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),-0.08097772411220924,-0.34113686368524765,-0.7477566682173095,2019,0
75,Divergent,-0.08097772411220924,1.2921604571365064,0.17539971229788745,2013,1
76,Divergent,-0.08097772411220924,1.2921604571365064,0.17539971229788745,2014,1
77,Divergent / Insurgent,-0.5219455286836229,0.4889498329806274,-0.6554410301657898,2014,1
78,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",-0.08097772411220924,-1.0167074736349238,-0.6554410301657898,2009,0
79,Doctor Sleep: A Novel,0.35999008045920833,0.33204476204131766,-0.009231563805151936,2013,1
80,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",0.8009578850306219,-0.7484586737256308,-0.10154720185667164,2009,1
81,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),1.2419256896020394,-0.5879701264516549,-0.6554410301657898,2018,1
82,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),1.2419256896020394,-0.611518685222318,-0.47080975406275044,2017,1
83,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),1.2419256896020394,-0.4025678865652384,-0.8400723062688292,2018,1
84,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),1.2419256896020394,-0.4025678865652384,-0.8400723062688292,2019,1
85,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),1.2419256896020394,0.05679965119291466,-0.47080975406275044,2019,1
86,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),1.2419256896020394,-0.24438300264926222,-0.47080975406275044,2019,1
87,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),1.2419256896020394,-0.5531592134863268,-0.6554410301657898,2018,1
88,Double Down (Diary of a Wimpy Kid #11),0.8009578850306219,-0.5831921580054334,0.6369779025554859,2016,1
89,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),-0.08097772411220924,-0.8377896194969506,-0.7477566682173095,2015,0
90,Drive: The Surprising Truth About What Motivates Us,-0.5219455286836229,-0.8044291612385112,0.26771535034940713,2010,0
91,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,-0.5219455286836229,-0.9584333227640436,-1.1170192204233882,2009,0
92,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",-1.403881137826454,-0.9382975985978244,0.08308407424636775,2009,0
93,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",-0.5219455286836229,-0.47841813564900476,-0.37849411601123073,2011,0
94,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",-0.5219455286836229,-0.47841813564900476,-0.37849411601123073,2012,0
95,Eclipse (Twilight Sagas),0.35999008045920833,-0.5501729832074383,-0.5631253921142702,2009,1
96,Eclipse (Twilight),0.35999008045920833,-0.5501729832074383,0.45234662645244655,2009,1
97,Educated: A Memoir,0.35999008045920833,1.4313187881327076,0.17539971229788745,2018,0
98,Educated: A Memoir,0.35999008045920833,1.4313187881327076,0.17539971229788745,2019,0
99,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",0.35999008045920833,-0.5580225027976594,-0.37849411601123073,2015,0
100,Fahrenheit 451,-0.08097772411220924,-0.10513935078794984,-0.47080975406275044,2016,1
101,Fahrenheit 451,-0.08097772411220924,-0.10513935078794984,-0.47080975406275044,2018,1
102,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),0.35999008045920833,-0.6470121651085349,0.17539971229788745,2016,1
103,Fear: Trump in the White House,-0.9629133332550365,-0.5043556786427786,-1.0247035823718686,2018,0
104,Fifty Shades Darker,-0.9629133332550365,0.9963530177963288,-0.5631253921142702,2012,1
105,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),-0.5219455286836229,0.7089070232370387,-0.19386283990819134,2012,1
106,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),-3.60872016068353,3.0128263438320255,0.08308407424636775,2012,1
107,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),-3.60872016068353,3.0128263438320255,0.08308407424636775,2013,1
108,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),-0.5219455286836229,0.1715562147673418,1.7447655591737221,2012,1
109,Fire and Fury: Inside the Trump White House,-1.8448489423978678,0.1470691264804566,-0.6554410301657898,2018,0
110,First 100 Words,0.35999008045920833,0.4581490006755209,-0.8400723062688292,2014,0
111,First 100 Words,0.35999008045920833,0.4581490006755209,-0.8400723062688292,2015,0
112,First 100 Words,0.35999008045920833,0.4581490006755209,-0.8400723062688292,2016,0
113,First 100 Words,0.35999008045920833,0.4581490006755209,-0.8400723062688292,2017,0
114,First 100 Words,0.35999008045920833,0.4581490006755209,-0.8400723062688292,2018,0
115,Food Rules: An Eater's Manual,-0.9629133332550365,-0.8871904003962765,-0.37849411601123073,2010,0
116,Frozen (Little Golden Book),0.35999008045920833,-0.7091257549094144,-1.209334858474908,2014,1
117,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",-0.9629133332550365,-0.9161994945340499,-0.37849411601123073,2010,0
118,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,-0.08097772411220924,-0.5425794262125506,-0.7477566682173095,2011,1
119,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,-0.08097772411220924,-0.5425794262125506,-0.7477566682173095,2012,1
120,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,-0.08097772411220924,-0.5425794262125506,-0.7477566682173095,2013,1
121,George Washington's Sacred Fire,-0.5219455286836229,-0.9850534326787063,0.6369779025554859,2010,0
122,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,-0.08097772411220924,-0.6104095139758737,0.26771535034940713,2013,0
123,Giraffes Can't Dance,0.8009578850306219,0.1778699587855631,-0.8400723062688292,2015,1
124,Giraffes Can't Dance,0.8009578850306219,0.1778699587855631,-0.8400723062688292,2016,1
125,Giraffes Can't Dance,0.8009578850306219,0.1778699587855631,-0.8400723062688292,2017,1
126,Giraffes Can't Dance,0.8009578850306219,0.1778699587855631,-0.8400723062688292,2018,1
127,Giraffes Can't Dance,0.8009578850306219,0.1778699587855631,-0.8400723062688292,2019,1
128,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",-0.08097772411220924,-0.3663065188930216,-0.10154720185667164,2019,0
129,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",-0.08097772411220924,0.8817670959521238,-0.10154720185667164,2018,0
130,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",-0.08097772411220924,0.8817670959521238,-0.10154720185667164,2019,0
131,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",-0.08097772411220924,-0.9034013647673852,-0.19386283990819134,2009,0
132,Go Set a Watchman: A Novel,-4.490655769826359,0.25841285545043985,0.5446622645039663,2015,1
133,Go the F**k to Sleep,0.8009578850306219,-0.20351430826104613,-0.37849411601123073,2011,1
134,Going Rogue: An American Life,-0.08097772411220924,-0.8802794103222775,-0.6554410301657898,2009,0
135,Gone Girl,-2.7267845515406988,3.8665469201336746,-0.286178477959711,2012,1
136,Gone Girl,-2.7267845515406988,3.8665469201336746,-0.286178477959711,2013,1
137,Gone Girl,-2.7267845515406988,3.8665469201336746,-0.37849411601123073,2014,1
138,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,-0.08097772411220924,-0.15462545255238683,-0.6554410301657898,2019,0
139,Good to Great: Why Some Companies Make the Leap and Others Don't,-0.5219455286836229,-0.7249101149549676,0.08308407424636775,2009,0
140,Good to Great: Why Some Companies Make the Leap and Others Don't,-0.5219455286836229,-0.7249101149549676,0.08308407424636775,2010,0
141,Good to Great: Why Some Companies Make the Leap and Others Don't,-0.5219455286836229,-0.7249101149549676,0.08308407424636775,2011,0
142,Good to Great: Why Some Companies Make the Leap and Others Don't,-0.5219455286836229,-0.7249101149549676,0.08308407424636775,2012,0
143,Goodnight Moon,0.8009578850306219,-0.26588386065725894,-0.7477566682173095,2017,1
144,Goodnight Moon,0.8009578850306219,-0.26588386065725894,-0.7477566682173095,2018,1
145,Goodnight Moon,0.8009578850306219,-0.26588386065725894,-0.7477566682173095,2019,1
146,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",1.2419256896020394,-0.41937609699212475,-0.5631253921142702,2012,1
147,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",1.2419256896020394,-0.41937609699212475,-0.5631253921142702,2013,1
148,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",-0.08097772411220924,-0.5103281392005555,-0.286178477959711,2014,0
149,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),-0.9629133332550365,1.1663975019627475,0.08308407424636775,2015,1
150,Guts,0.8009578850306219,-0.5526472882956602,-0.5631253921142702,2019,0
151,Hamilton: The Revolution,1.2419256896020394,-0.5192868300372208,3.7757095963071556,2016,0
152,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",0.8009578850306219,-0.6659533971631987,-0.19386283990819134,2013,0
153,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",1.2419256896020394,0.6543016695659358,1.5601342830706828,2016,1
154,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",-2.7267845515406988,1.0255327536643244,-0.10154720185667164,2016,1
155,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",1.2419256896020394,-0.357945074112134,0.45234662645244655,2019,1
156,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",1.2419256896020394,-0.7514449040045191,1.5601342830706828,2017,1
157,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",1.2419256896020394,-0.16221900954727458,0.8216091786585253,2016,1
158,Harry Potter Coloring Book,0.35999008045920833,-0.7157807823880801,-0.37849411601123073,2015,0
159,Harry Potter Paperback Box Set (Books 1-7),0.8009578850306219,0.1294930282675704,3.591078320204116,2016,1
160,Have a Little Faith: A True Story,0.8009578850306219,-0.8551950759796146,-0.8400723062688292,2009,0
161,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,0.35999008045920833,0.32641358494398515,-0.286178477959711,2011,0
162,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,0.35999008045920833,0.32641358494398515,-0.286178477959711,2012,0
163,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,-0.9629133332550365,0.3048274060708773,0.08308407424636775,2016,0
164,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,-0.9629133332550365,0.3048274060708773,0.08308407424636775,2017,0
165,Homebody: A Guide to Creating Spaces You Never Want to Leave,0.8009578850306219,-0.6976927589845273,0.8216091786585253,2018,0
166,How to Win Friends & Influence People,0.35999008045920833,1.1132426029985334,-0.19386283990819134,2014,0
167,How to Win Friends & Influence People,0.35999008045920833,1.1132426029985334,-0.19386283990819134,2015,0
168,How to Win Friends & Influence People,0.35999008045920833,1.1132426029985334,-0.19386283990819134,2016,0
169,How to Win Friends & Influence People,0.35999008045920833,1.1132426029985334,-0.19386283990819134,2017,0
170,How to Win Friends & Influence People,0.35999008045920833,1.1132426029985334,-0.19386283990819134,2018,0
171,Howard Stern Comes Again,-1.403881137826454,-0.5700527447783242,0.26771535034940713,2019,0
172,Humans of New York,0.8009578850306219,-0.7220945264063013,0.17539971229788745,2013,0
173,Humans of New York,0.8009578850306219,-0.7220945264063013,0.17539971229788745,2014,0
174,Humans of New York : Stories,1.2419256896020394,-0.779942072951626,0.36003098840092684,2015,0
175,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",0.35999008045920833,-0.6021333900600973,0.36003098840092684,2013,0
176,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",0.8009578850306219,-0.18909508205727052,-0.5631253921142702,2019,0
177,"I, Alex Cross",-0.08097772411220924,-0.9072408036973846,-0.5631253921142702,2009,1
178,If Animals Kissed Good Night,0.8009578850306219,0.40013081239997406,-0.8400723062688292,2017,1
179,If Animals Kissed Good Night,0.8009578850306219,0.40013081239997406,-0.8400723062688292,2019,1
180,If I Stay,-1.403881137826454,-0.40956419750434847,-0.37849411601123073,2014,1
